edge_type_id target_query source_query distance_range model_template cconnection_rule target_sections delay dynamics_params
100 pop_name=='IND' pop_name=='Bladaff' "[0.0, 300.0]" Exp2Syn NULL ['somatic'] 2.0 AMPA_ExcToExc.json
101 pop_name=='Hypo' pop_name=='Bladaff' "[0.0, 300.0]" Exp2Syn NULL ['somatic'] 2.0 AMPA_ExcToExc.json
102 pop_name=='IND' pop_name=='EUSaff' "[0.0, 300.0]" Exp2Syn NULL ['somatic'] 2.0 AMPA_ExcToExc.json
103 pop_name=='IND' pop_name=='PAGaff' "[0.0, 300.0]" Exp2Syn NULL ['somatic'] 2.0 AMPA_ExcToExc.json
104 pop_name=='PGN' pop_name=='IND' "[0.0, 300.0]" Exp2Syn NULL ['somatic'] 2.0 AMPA_ExcToExc.json
105 pop_name=='IMG' pop_name=='Hypo' "[0.0, 300.0]" Exp2Syn NULL ['somatic'] 2.0 AMPA_ExcToExc.json
106 pop_name=='INmplus' pop_name=='EUSaff' "[0.0, 300.0]" Exp2Syn NULL ['somatic'] 2.0 AMPA_ExcToExc.json
107 pop_name=='INmminus' pop_name=='EUSaff' "[0.0, 300.0]" Exp2Syn NULL ['somatic'] 2.0 AMPA_ExcToExc.json
108 pop_name=='PGN' pop_name=='INmplus' "[0.0, 300.0]" Exp2Syn "<function percent_connector at 0x7fd4d0c922f0>" ['somatic'] 2.0 AMPA_ExcToExc.json
109 pop_name=='PGN' pop_name=='INmminus' "[0.0, 300.0]" Exp2Syn NULL ['somatic'] 2.0 GABA_InhToExc.json
110 pop_name=='MPG' pop_name=='PGN' "[0.0, 300.0]" Exp2Syn NULL ['somatic'] 2.0 AMPA_ExcToExc.json
111 pop_name=='FB' pop_name=='PGN' "[0.0, 300.0]" Exp2Syn NULL ['somatic'] 2.0 AMPA_ExcToExc.json
112 pop_name=='IND' pop_name=='FB' "[0.0, 300.0]" Exp2Syn NULL ['somatic'] 2.0 GABA_InhToInh.json
113 pop_name=='Hypo' pop_name=='PAGaff' "[0.0, 300.0]" Exp2Syn NULL ['somatic'] 2.0 GABA_InhToInh.json
