node_ids timestamps population
0 36912.886082724624 PAG_aff_virt
0 43501.34506448223 PAG_aff_virt
0 64606.60111014095 PAG_aff_virt
0 64607.78397749579 PAG_aff_virt
0 79752.27890644385 PAG_aff_virt
0 83789.76700557048 PAG_aff_virt
0 89839.34696862503 PAG_aff_virt
0 106437.06153930165 PAG_aff_virt
0 107778.35245970101 PAG_aff_virt
0 116798.94042351075 PAG_aff_virt
0 122343.77459803957 PAG_aff_virt
0 126587.54482113992 PAG_aff_virt
0 129806.23153035468 PAG_aff_virt
0 136301.49734796482 PAG_aff_virt
0 148938.58355985855 PAG_aff_virt
0 154447.01330757717 PAG_aff_virt
0 164707.64924435812 PAG_aff_virt
0 167387.1781028839 PAG_aff_virt
0 179692.8647580685 PAG_aff_virt
0 180907.78437070642 PAG_aff_virt
0 185328.41816387602 PAG_aff_virt
0 185504.0844979973 PAG_aff_virt
0 203367.24937207118 PAG_aff_virt
0 206298.8894612261 PAG_aff_virt
0 224627.92847724445 PAG_aff_virt
0 236252.88365572007 PAG_aff_virt
0 239828.45054804615 PAG_aff_virt
0 244482.91694183348 PAG_aff_virt
0 247883.44733907585 PAG_aff_virt
0 248741.2933498136 PAG_aff_virt
0 250615.24655751148 PAG_aff_virt
0 261064.82096693173 PAG_aff_virt
0 266658.0773100726 PAG_aff_virt
0 272336.9786715714 PAG_aff_virt
0 280838.11501578335 PAG_aff_virt
0 285425.9347194305 PAG_aff_virt
0 321054.6611927559 PAG_aff_virt
0 322986.66285749525 PAG_aff_virt
0 326426.88915164437 PAG_aff_virt
0 329854.5958420837 PAG_aff_virt
0 355530.85058261524 PAG_aff_virt
0 357875.1037358784 PAG_aff_virt
0 380592.7777903892 PAG_aff_virt
0 381888.3902698283 PAG_aff_virt
0 383540.94778214133 PAG_aff_virt
0 383642.5701855105 PAG_aff_virt
0 399687.27370026795 PAG_aff_virt
0 441428.2177472541 PAG_aff_virt
0 453591.5792508671 PAG_aff_virt
0 461747.7981860728 PAG_aff_virt
0 467337.51566780586 PAG_aff_virt
0 483597.7044201025 PAG_aff_virt
0 485789.2653851504 PAG_aff_virt
0 503889.4842225342 PAG_aff_virt
0 516509.45102023304 PAG_aff_virt
0 521111.84413068084 PAG_aff_virt
0 525211.1005786848 PAG_aff_virt
0 529102.6210048657 PAG_aff_virt
1 3331.989808087352 PAG_aff_virt
1 12180.425651363716 PAG_aff_virt
1 17904.690454931686 PAG_aff_virt
1 26845.121253325236 PAG_aff_virt
1 27014.13586263633 PAG_aff_virt
1 28984.99637747228 PAG_aff_virt
1 47004.84863866668 PAG_aff_virt
1 61063.647459957094 PAG_aff_virt
1 69888.6546429615 PAG_aff_virt
1 85548.7626304664 PAG_aff_virt
1 85778.99944678498 PAG_aff_virt
1 102612.86630572281 PAG_aff_virt
1 134135.01196884015 PAG_aff_virt
1 154536.85988394744 PAG_aff_virt
1 165544.1628811992 PAG_aff_virt
1 177730.05455741164 PAG_aff_virt
1 194055.2901624798 PAG_aff_virt
1 197102.43382495045 PAG_aff_virt
1 202882.62885388205 PAG_aff_virt
1 203995.2247929124 PAG_aff_virt
1 214210.1613598823 PAG_aff_virt
1 219851.18909092498 PAG_aff_virt
1 224220.44306251238 PAG_aff_virt
1 255910.90662158636 PAG_aff_virt
1 271676.9555304076 PAG_aff_virt
1 275159.43325402634 PAG_aff_virt
1 276619.8194537212 PAG_aff_virt
1 277645.9414016755 PAG_aff_virt
1 286808.9170879646 PAG_aff_virt
1 305176.82327573595 PAG_aff_virt
1 313646.05743121554 PAG_aff_virt
1 323089.0789786461 PAG_aff_virt
1 329091.3868963437 PAG_aff_virt
1 329333.58514539106 PAG_aff_virt
1 343292.68567020335 PAG_aff_virt
1 349125.68661216344 PAG_aff_virt
1 353696.308036007 PAG_aff_virt
1 367565.3072007154 PAG_aff_virt
1 367816.46686520573 PAG_aff_virt
1 371317.2185552609 PAG_aff_virt
1 385590.6171705934 PAG_aff_virt
1 399426.3637276977 PAG_aff_virt
1 403147.42409748613 PAG_aff_virt
1 417958.97828314925 PAG_aff_virt
1 420153.3649569452 PAG_aff_virt
1 427693.11861470225 PAG_aff_virt
1 433008.0482447928 PAG_aff_virt
1 434137.40292631305 PAG_aff_virt
1 438155.4492118297 PAG_aff_virt
1 451846.9446063724 PAG_aff_virt
1 470241.0165377831 PAG_aff_virt
1 489037.9784602213 PAG_aff_virt
1 507987.47199561057 PAG_aff_virt
1 515377.7238736456 PAG_aff_virt
1 519724.4540035799 PAG_aff_virt
1 538486.2733709149 PAG_aff_virt
1 545054.2784287658 PAG_aff_virt
2 12664.19975366982 PAG_aff_virt
2 13536.645713814081 PAG_aff_virt
2 18097.818526001964 PAG_aff_virt
2 49768.10211566585 PAG_aff_virt
2 84853.59579108187 PAG_aff_virt
2 89688.08927390246 PAG_aff_virt
