node_ids timestamps population
0 2615.710161060566 EUS_aff_virt
0 20751.13271746874 EUS_aff_virt
0 22761.804948717127 EUS_aff_virt
0 36803.08853311449 EUS_aff_virt
0 38919.99381872559 EUS_aff_virt
0 60434.741898596076 EUS_aff_virt
0 64874.818856309554 EUS_aff_virt
0 64932.440349289005 EUS_aff_virt
0 76990.0631993345 EUS_aff_virt
0 81524.9118952684 EUS_aff_virt
0 85926.95588844278 EUS_aff_virt
0 87005.74655711149 EUS_aff_virt
0 95464.13871595438 EUS_aff_virt
0 120058.07136279112 EUS_aff_virt
0 128113.87262518221 EUS_aff_virt
0 130915.84270532746 EUS_aff_virt
0 186516.1418406363 EUS_aff_virt
0 192148.02006936134 EUS_aff_virt
0 227646.40301227957 EUS_aff_virt
0 232642.29391919822 EUS_aff_virt
0 253382.50150555372 EUS_aff_virt
0 258729.43555751556 EUS_aff_virt
0 262311.27767927246 EUS_aff_virt
0 290639.43562776846 EUS_aff_virt
0 305467.73545460263 EUS_aff_virt
0 309286.1934693079 EUS_aff_virt
0 315066.81537072 EUS_aff_virt
0 316039.3013640794 EUS_aff_virt
0 323426.838294024 EUS_aff_virt
0 360154.9081355951 EUS_aff_virt
0 374144.643035917 EUS_aff_virt
0 415530.8620202628 EUS_aff_virt
0 421161.70209657506 EUS_aff_virt
0 422332.28966628364 EUS_aff_virt
0 423001.5209381281 EUS_aff_virt
0 426651.5071057645 EUS_aff_virt
0 431365.65313827887 EUS_aff_virt
0 431436.99188305775 EUS_aff_virt
0 447904.8270236161 EUS_aff_virt
0 452328.68721188355 EUS_aff_virt
0 468364.8462326197 EUS_aff_virt
0 471414.1193709578 EUS_aff_virt
0 483378.5361758603 EUS_aff_virt
0 492457.37658094935 EUS_aff_virt
0 505817.26138099673 EUS_aff_virt
0 506933.9347246682 EUS_aff_virt
0 518697.95770703885 EUS_aff_virt
0 520562.79257001297 EUS_aff_virt
0 561597.667856715 EUS_aff_virt
0 564646.0415290477 EUS_aff_virt
0 567347.2285005325 EUS_aff_virt
0 570800.9774601818 EUS_aff_virt
0 581740.8089318955 EUS_aff_virt
0 584879.6410969414 EUS_aff_virt
0 593168.3368185409 EUS_aff_virt
1 1908.7032682785234 EUS_aff_virt
1 8798.877816000188 EUS_aff_virt
1 18408.074942151314 EUS_aff_virt
1 23611.756745851035 EUS_aff_virt
1 39597.68784138995 EUS_aff_virt
1 47426.783740571096 EUS_aff_virt
1 66983.49692612165 EUS_aff_virt
1 75858.68929708857 EUS_aff_virt
1 91570.6615414141 EUS_aff_virt
1 118057.86754417323 EUS_aff_virt
1 137552.07915241417 EUS_aff_virt
1 140836.67350222365 EUS_aff_virt
1 148688.3782699344 EUS_aff_virt
1 149011.84976412856 EUS_aff_virt
1 151805.35252460514 EUS_aff_virt
1 152127.38502288974 EUS_aff_virt
1 153056.99374203177 EUS_aff_virt
1 158599.8752683505 EUS_aff_virt
1 175820.95701669462 EUS_aff_virt
1 190080.14051596995 EUS_aff_virt
1 198507.61059488746 EUS_aff_virt
1 198748.17315264826 EUS_aff_virt
1 217953.26126151852 EUS_aff_virt
1 229593.2830508463 EUS_aff_virt
1 237454.31719558008 EUS_aff_virt
1 237767.22412544893 EUS_aff_virt
1 250068.76146019818 EUS_aff_virt
1 259004.7792632365 EUS_aff_virt
1 297298.36720768735 EUS_aff_virt
1 305052.81254332565 EUS_aff_virt
1 310537.1306103441 EUS_aff_virt
1 313867.2781334246 EUS_aff_virt
1 320647.92636184336 EUS_aff_virt
1 336788.49289166846 EUS_aff_virt
1 341883.5946513609 EUS_aff_virt
1 344716.49361596577 EUS_aff_virt
1 352776.84146258107 EUS_aff_virt
1 371752.16174817306 EUS_aff_virt
1 405278.0202437222 EUS_aff_virt
1 433648.6063011749 EUS_aff_virt
1 441436.7683593059 EUS_aff_virt
1 454272.88760884677 EUS_aff_virt
1 455598.32558830356 EUS_aff_virt
1 457133.40950137906 EUS_aff_virt
1 461520.5946005862 EUS_aff_virt
1 462187.8432885082 EUS_aff_virt
1 465212.25164735015 EUS_aff_virt
1 483080.665727712 EUS_aff_virt
1 496153.0002348368 EUS_aff_virt
1 502223.52943423466 EUS_aff_virt
1 515530.01934326906 EUS_aff_virt
1 563760.411346946 EUS_aff_virt
1 579728.3324267011 EUS_aff_virt
1 585811.518175062 EUS_aff_virt
